timestamp_s,echo_displacement_samples,optic_flow_y_px_per_frame,mean_brightness,ppg_reference_0_1,beat_marker,icp_proxy_z
0.0,0.02082,-0.01332,127.161,0.5834,0,-0.02799
0.02,0.0737,0.02721,128.977,0.683,0,0.53633
0.04,0.0943,0.03025,128.812,0.7738,1,0.63909
0.06,0.10229,0.04176,129.227,0.852,0,0.76184
0.08,0.12578,0.02153,128.283,0.9148,0,0.70718
0.1,0.11622,0.0387,129.011,0.9606,0,0.79737
0.12,0.1406,0.0353,129.684,0.9888,0,0.92573
0.14,0.16808,0.03075,130.356,0.9999,0,1.06188
0.16,0.11793,0.01274,130.384,0.9954,0,0.73277
0.18,0.1125,0.03509,129.5,0.9778,0,0.78593
0.2,0.14089,0.05007,129.421,0.9499,0,0.99558
0.22,0.14067,0.04483,128.946,0.9148,0,0.94029
0.24,0.13862,0.03434,129.984,0.8757,0,0.92712
0.26,0.11626,0.04245,129.507,0.8354,0,0.8446
0.28,0.13975,0.05201,130.202,0.7961,0,1.04223
0.3,0.1548,0.00886,131.081,0.7592,0,0.91711
0.32,0.09608,0.03813,129.559,0.7255,0,0.73064
0.34,0.10611,0.04244,128.239,0.6948,0,0.73114
0.36,0.05455,0.03938,128.559,0.6663,0,0.49421
0.38,0.05261,0.04634,127.871,0.6385,0,0.48789
0.4,0.0215,0.03426,127.868,0.6097,0,0.27762
0.42,0.04559,0.01948,129.673,0.5779,0,0.40082
0.44,0.00546,0.01497,128.635,0.5414,0,0.13688
0.46,0.03097,0.01683,127.079,0.499,0,0.1824
0.48,0.01516,-0.00304,128.66,0.4501,0,0.08229
0.5,-0.00836,-0.00161,128.963,0.3949,0,-0.00177
0.52,-0.08571,0.00391,127.434,0.3344,0,-0.4066
0.54,-0.06134,0.00886,126.874,0.2707,0,-0.2966
0.56,-0.08103,-0.0263,126.755,0.2064,0,-0.58928
0.58,-0.1153,-0.03668,126.784,0.145,0,-0.80291
0.6,-0.19905,-0.04675,126.547,0.0901,0,-1.25604
0.62,-0.21631,-0.04633,126.448,0.0455,0,-1.33811
0.64,-0.26882,-0.07503,125.983,0.0146,0,-1.76362
